,posture,x,y,speed,traitement,breed,temperature,time,200002,200004,200011,200013,200014,204926,204927,204938,204945,204946,num_nb,degree,close,bet,pr,204946==False AND bet>=0.06,204938==True AND bet>=0.06,200011==True AND 204946==False,204946==False AND pr>=0.11,200002==False AND bet>=0.06,204946==False AND num_nb: [3.0:4.0[,204946==False AND degree: [0.33:0.44[,204938==False AND num_nb: [3.0:4.0[,204938==False AND degree: [0.33:0.44[,204938==False AND 204946==False,200014==False AND y>=132.23,pr: [0.07:0.08[ AND y>=132.23,pr: [0.07:0.08[ AND speed: [0.80:1.92[,bet: [0.01:0.02[ AND y>=132.23,pr: [0.07:0.08[ AND temperature<28.50,200004==False AND temperature: [29.0:29.50[	,speed>=19.89,speed>=19.89 AND traitement==1.0,breed==0.0 AND speed>=19.89,200002==False AND speed>=19.89,speed: [4.28:19.89[,speed: [4.28:19.89[ AND traitement==1.0	,breed==0.0 AND speed: [4.28:19.89[	,200002==False AND speed: [4.28:19.89[	,204927==True
20,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 18:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 19:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 19:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 20:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 20:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 21:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 21:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 22:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 22:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 23:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
